[2020-12-23 15:36:46] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-23 16:07:46] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-23 16:07:46] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-23 16:07:46] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-23 16:07:46] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-23 16:49:15] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-23 16:49:15] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-23 16:49:15] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-23 16:49:15] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-23 18:26:14] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
